id,referencia,marca,capacidad,ciudad,responsable
9198,"ACH01,ACH22,ACH43","sony, rico, kelley",525,"Medellin, Bogota, Cali, Barranquilla, Cartagena","jaime arenas, estefa zapata, dairon rodriguez, coman mamey, erika correa"
3116,"ACH01,ACH22,ACH43","sony, rico, kelley",510,"Medellin, Bogota, Cali, Barranquilla, Cartagena","jaime arenas, estefa zapata, dairon rodriguez, coman mamey, erika correa"
3024,"ACH01,ACH22,ACH43","sony, rico, kelley",883,"Medellin, Bogota, Cali, Barranquilla, Cartagena","jaime arenas, estefa zapata, dairon rodriguez, coman mamey, erika correa"
701,"ACH01,ACH22,ACH43","sony, rico, kelley",1085,"Medellin, Bogota, Cali, Barranquilla, Cartagena","jaime arenas, estefa zapata, dairon rodriguez, coman mamey, erika correa"
6653,"ACH01,ACH22,ACH43","sony, rico, kelley",318,"Medellin, Bogota, Cali, Barranquilla, Cartagena","jaime arenas, estefa zapata, dairon rodriguez, coman mamey, erika correa"
1476,"ACH01,ACH22,ACH43","sony, rico, kelley",1726,"Medellin, Bogota, Cali, Barranquilla, Cartagena","jaime arenas, estefa zapata, dairon rodriguez, coman mamey, erika correa"
9335,"ACH01,ACH22,ACH43","sony, rico, kelley",416,"Medellin, Bogota, Cali, Barranquilla, Cartagena","jaime arenas, estefa zapata, dairon rodriguez, coman mamey, erika correa"
2371,"ACH01,ACH22,ACH43","sony, rico, kelley",550,"Medellin, Bogota, Cali, Barranquilla, Cartagena","jaime arenas, estefa zapata, dairon rodriguez, coman mamey, erika correa"
2830,"ACH01,ACH22,ACH43","sony, rico, kelley",986,"Medellin, Bogota, Cali, Barranquilla, Cartagena","jaime arenas, estefa zapata, dairon rodriguez, coman mamey, erika correa"
7067,"ACH01,ACH22,ACH43","sony, rico, kelley",1095,"Medellin, Bogota, Cali, Barranquilla, Cartagena","jaime arenas, estefa zapata, dairon rodriguez, coman mamey, erika correa"
9775,"ACH01,ACH22,ACH43","sony, rico, kelley",1919,"Medellin, Bogota, Cali, Barranquilla, Cartagena","jaime arenas, estefa zapata, dairon rodriguez, coman mamey, erika correa"
3591,"ACH01,ACH22,ACH43","sony, rico, kelley",1127,"Medellin, Bogota, Cali, Barranquilla, Cartagena","jaime arenas, estefa zapata, dairon rodriguez, coman mamey, erika correa"
4420,"ACH01,ACH22,ACH43","sony, rico, kelley",934,"Medellin, Bogota, Cali, Barranquilla, Cartagena","jaime arenas, estefa zapata, dairon rodriguez, coman mamey, erika correa"
6549,"ACH01,ACH22,ACH43","sony, rico, kelley",459,"Medellin, Bogota, Cali, Barranquilla, Cartagena","jaime arenas, estefa zapata, dairon rodriguez, coman mamey, erika correa"
3205,"ACH01,ACH22,ACH43","sony, rico, kelley",848,"Medellin, Bogota, Cali, Barranquilla, Cartagena","jaime arenas, estefa zapata, dairon rodriguez, coman mamey, erika correa"
9699,"ACH01,ACH22,ACH43","sony, rico, kelley",1452,"Medellin, Bogota, Cali, Barranquilla, Cartagena","jaime arenas, estefa zapata, dairon rodriguez, coman mamey, erika correa"
3476,"ACH01,ACH22,ACH43","sony, rico, kelley",1935,"Medellin, Bogota, Cali, Barranquilla, Cartagena","jaime arenas, estefa zapata, dairon rodriguez, coman mamey, erika correa"
5887,"ACH01,ACH22,ACH43","sony, rico, kelley",1493,"Medellin, Bogota, Cali, Barranquilla, Cartagena","jaime arenas, estefa zapata, dairon rodriguez, coman mamey, erika correa"
4651,"ACH01,ACH22,ACH43","sony, rico, kelley",1335,"Medellin, Bogota, Cali, Barranquilla, Cartagena","jaime arenas, estefa zapata, dairon rodriguez, coman mamey, erika correa"
9738,"ACH01,ACH22,ACH43","sony, rico, kelley",1248,"Medellin, Bogota, Cali, Barranquilla, Cartagena","jaime arenas, estefa zapata, dairon rodriguez, coman mamey, erika correa"
6123,"ACH01,ACH22,ACH43","sony, rico, kelley",998,"Medellin, Bogota, Cali, Barranquilla, Cartagena","jaime arenas, estefa zapata, dairon rodriguez, coman mamey, erika correa"
